StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
30,4,201106,3.72,70.3,-1.67,-1.67,0.14,-1.34,164,5,0.36,0.31,0.56,0.25,-0.01,-0.47,0.32,61.5,79.2
30,1,201106,2.86,65.2,4.47,4.47,-1.59,3.82,71,65,-0.69,1.05,1.98,2.5,2.72,2.3,1.92,54,76.4
30,8,201106,3.09,65.3,4.47,4.47,-0.59,4.19,65,56,-0.2,1.28,2.1,2.01,2.08,2.37,1.94,54.8,75.8
30,7,201106,3.42,63.4,5.89,5.89,0.01,5.84,35,83,0.02,1.66,2.46,2.71,2.85,2.71,2.22,53.1,73.7
30,2,201106,5.71,64.4,4.33,4.33,2.25,4.33,53,71,0.97,1.51,2.2,2.6,2.65,2.3,1.74,53.4,75.3
30,5,201106,5.23,67.2,2.76,2.76,1.68,2.76,93,27,0.85,1.1,1.49,1.84,1.9,1.44,1.21,56.8,77.6
30,3,201107,3.17,67.7,3.91,3.91,-1.42,3.31,109,25,-0.72,0.04,1.23,2.53,1.66,2.29,1.41,56,79.3
30,6,201107,3.01,71.1,2.89,2.89,-1.26,2.34,196,7,-0.71,0.13,0.75,1.96,1.26,1.82,1.08,59.1,83.1
30,10,201107,1.26,72.8,2.26,2.26,-3.67,0.39,245,0,-2.44,-1.81,-0.35,1.37,0.98,1.47,1.12,61.2,84.5
30,5,201107,2.84,73.9,1.95,1.95,-1.57,1.23,276,0,-0.76,0.14,0.53,1.58,1.15,1.31,0.85,62.5,85.4
30,7,201107,2.54,70.1,4.73,4.73,-1.65,4.03,167,9,-1.01,-0.57,1.04,2.46,2.02,2.42,1.97,58.5,81.8
